% Model:              AluminaWithRodsOriginalParts.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 9 2026, 17:19
% Dimension:          1
% Nodes:              1000
% Expressions:        5
% Description:        Electric field norm, Electric potential, Electric field, x component, Electric field, y component, Electric field, z component
% cln2x                   es.normE (V/m)           V (V)                    es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
30.422499999999996        7.801680542637398        -0.91235395024539        -2.0865559126755784      7.328321580898006        1.6757704256819004
30.637499999999996        7.980401346376135        -0.9127296203809038      -1.6032286819238095      7.603177027881003        1.8188354860738443
30.8525                   8.195524918488637        -0.9131360495044019      -1.119901451171927       7.878032474863801        1.9619005464657313
31.0675                   8.444269560498054        -0.913573237615884       -0.6365742204202718      8.152887921846883        2.1049656068576343
31.2825                   8.723759786444868        -0.9140411847153507      -0.15324698966838923     8.427743368829852        2.2480306672495907
31.4975                   9.031141560914985        -0.9145398908028014      0.33008024108355016      8.70259881581282         2.3910957276415132
31.7125                   9.363668493461017        -0.9150693558782366      0.8134074718353759       8.977454262795817        2.5341607880334056
31.9275                   9.718759905360212        -0.9156295799416555      1.2967347025872868       9.252309709778785        2.677225848425252
32.1425                   10.094034734490231       -0.9162205629930594      1.7800619333390841       9.527165156761725        2.820290908817338
32.3575                   10.487326495566252       -0.9168423050324475      2.26338916409091         9.802020603744637        2.963355969209136
32.5725                   10.896684519089861       -0.9174948060598194      2.746716394842565        10.076876050727662       3.1064210296009414
32.7875                   11.320366013208087       -0.9181780660751755      3.2300436255945613       10.35173149771066        3.2494860899929616
33.0025                   4.291570928688258        -0.9188601172988575      -3.4833699456367384      -0.1392439312685383      2.502863557088517
33.2175                   4.253602340345894        -0.9194127708166345      -3.3219199098251266      0.31370773595165247      2.6380993989816943
33.4325                   4.274075902847043        -0.9199945000404196      -3.160469874013401       0.7666594031722127       2.773335240874985
33.6475                   4.352166919646594        -0.9206053049702119      -2.999019838201569       1.2196110703924177       2.908571082768276
33.8625                   4.4848666746407915       -0.9212451856060101      -2.837569802389879       1.6725627376127221       3.0438069246616237
34.0775                   4.667519834109695        -0.9219141419478163      -2.6761197665782177      2.1255144048330266       3.179042766554744
34.292500000000004        4.89453714195505         -0.9226121739956286      -2.514669730766279       2.578466072053061        3.3142786084480917
34.5075                   5.1600665098252145       -0.9233392817494481      -2.353219694954703       3.0314177392736          3.4495144503414394
34.722500000000004        5.458490547516471        -0.9240954652092749      -2.1917696591428104      3.4843694064939044       3.5847502922347303
34.9375                   5.7847205505971395       -0.9248807243751093      -2.0303196233311134      3.937321073714209        3.7199861341278506
35.1525                   6.134321866298081        -0.9256950592469503      -1.868869587519434       4.390272740934467        3.855221976021028
35.3675                   6.503526565629901        -0.9265384698247983      -1.707419551707602       4.843224408154727        3.990457817914475
35.5825                   6.889183619270956        -0.9274109561086534      -1.545969515895881       5.2961760753750315       4.125693659807652
35.7975                   7.288681925415325        -0.9283125180985156      -1.3845194800840788      5.7491277425953164       4.26092950170085
36.0125                   7.6998673754416975       -0.9292431557943849      -1.2230694442723733      6.2020794098156244       4.396165343594319
36.2275                   8.120964912408509        -0.9302028691962612      -1.0616194084606025      6.6550310770358685       4.531401185487411
36.4425                   8.550510203340018        -0.9311916583041444      -0.9001693726489073      7.107982744256379        4.666637027380659
36.657500000000006        8.987292055226591        -0.9322095231180347      -0.738719336837125       7.560934411476566        4.8018728692741774
36.8725                   7.699193244368455        -0.932969059568858       -0.6567403400436405      7.099046866650834        2.906854369414333
37.0875                   5.765878982586635        -0.9333559500657629      -1.5427817320531716      5.430536637320472        1.1723722957309075
37.302499999999995        5.551654171356712        -0.9336012512075249      -1.5671842282279442      5.2090123888479525       1.1094987904294964
37.5175                   5.338877292010657        -0.9338330345456477      -1.5915867244026316      4.987488140375177        1.0466252851280178
37.732499999999995        5.127728595026819        -0.9340513000801302      -1.6159892205775748      4.765963891902771        0.9837517798264912
37.9475                   4.918417779496075        -0.9342560478109732      -1.6403917167521627      4.5444396434303655       0.9208782745251849
38.1625                   4.711189814406754        -0.9344472777381759      -1.6647942129270632      4.3229153949578745       0.8580047692237578
38.3775                   4.5063320544957435       -0.9346249898617391      -1.6891967091017932      4.101391146485383        0.7951312639223875
38.5925                   4.30418294310101         -0.9347891841816623      -1.7135992052766085      3.879866898012949        0.7322577586208467
38.8075                   4.1051426448158015       -0.9349398606979463      -1.7380017014512816      3.658342649540316        0.6693842533194694
39.0225                   3.9096859931700267       -0.9350770194105901      -1.762404197626097       3.436818401067825        0.6065107480180494
