Cs Rydberg State (n), Distance (um), Rb-Cs Energy Shift (GHz), Na-Cs Energy Shift (GHz), Rb-Rb Energy Shift (GHz), Na-Na Energy Shift (GHz), Cs-Cs Energy Shift (GHz)
52, 9, 0.0014550024814543494, 0.0006405200967531455, 2.9062916969119563e-05, 6.699945973753965e-05, 3.320748288391915e-05
52, 10, 0.0007785710953975035, 0.00034043007295597955, 1.5449952044398528e-05, 3.561141958679385e-05, 1.7652616738906235e-05
52, 11, 0.0004409969028303291, 0.0001921757130580013, 8.725461786231487e-06, 2.0106205435579308e-05, 9.968828782277409e-06
52, 12, 0.00026212044910938636, 0.00011402274935853398, 5.180819006627046e-06, 1.1932963170061542e-05, 5.918505257409914e-06
52, 13, 0.00016232278960083473, 7.05419225902074e-05, 3.2087983636371375e-06, 7.385855548680373e-06, 3.6651515850099985e-06
52, 14, 0.00010412227777653747, 4.522478799599745e-05, 2.060590125599745e-06, 4.738297459246432e-06, 2.353136166469529e-06
53, 5, 0.03835076299392333, 0.026933865401716803, 0.0012561649250932055, 0.002877360741010661, 0.0014266964587966915
53, 6, 0.015736335088106717, 0.00906195640551578, 0.00042076648465391074, 0.000964466106210161, 0.00047799661770696263
53, 7, 0.006773766520211564, 0.003598668221349446, 0.00016687793998991136, 0.00038258495918651027, 0.00018958807465515925
53, 8, 0.0031442022486818265, 0.001615873981274831, 7.490097622289104e-05, 0.0001717243040899516, 8.509552221551132e-05
53, 9, 0.0015738853734678438, 0.0007972305909642839, 3.6951775857808276e-05, 8.471489592863012e-05, 4.198091851689225e-05
53, 10, 0.0008421936198769759, 0.0004237251975348276, 1.9642444653026275e-05, 4.502646661128352e-05, 2.231525290627194e-05
53, 11, 0.0004770349677819776, 0.00023919718897125644, 1.1092022806030734e-05, 2.5420848257320366e-05, 1.2600785633107018e-05
53, 12, 0.0002835407760419406, 0.00014192133356271137, 6.58488376447422e-06, 1.5086128741899305e-05, 7.48003105842561e-06
53, 13, 0.0001755874713518137, 8.780106191502501e-05, 4.07738860265187e-06, 9.336492274275073e-06, 4.6311524353292715e-06
53, 14, 0.00011263066143385972, 5.6288901676439785e-05, 2.6174002232814362e-06, 5.98875690425901e-06, 2.9723918199112264e-06
54, 5, 0.04165979426259541, 0.03333996410957102, 0.0015891975458554263, 0.0036193231336985295, 0.001794716433905948
54, 6, 0.017317961039284024, 0.011228668200763825, 0.0005323688040828271, 0.0012135265122989085, 0.0006013705189932892
54, 7, 0.0074916981583331155, 0.004460351140996975, 0.0002111403627175992, 0.00048142475940460554, 0.00023852945305783148
54, 8, 0.0034844930125817928, 0.0020029801618643072, 9.476678558408095e-05, 0.00021609454870641432, 0.00010706263296918154
54, 9, 0.00174576479257918, 0.0009882566026346027, 4.6751212926595375e-05, 0.00010660373702360219, 5.2817137842179896e-05
54, 10, 0.0009345531806705917, 0.0005252631069451342, 2.4850323252495895e-05, 5.665965727554342e-05, 2.8074184999454916e-05
54, 11, 0.0005294583650630895, 0.0002965179398723843, 1.403175027210169e-05, 3.198763813020818e-05, 1.585158636574573e-05
54, 12, 0.00031473440748097116, 0.00017593092747581843, 8.329006079608001e-06, 1.8982203024890897e-05, 9.408716298688965e-06
54, 13, 0.00019491619898728268, 0.00010884080598983899, 5.156347720716798e-06, 1.1746717550308656e-05, 5.8242886828108245e-06
54, 14, 0.00012503316276483002, 6.977663996020967e-05, 3.3090675976448393e-06, 7.533838109338001e-06, 3.737253156957283e-06
55, 5, 0.04546758293688681, 0.04109616175640431, 0.0020004005851112653, 0.00453110528725227, 0.0022470561465962875
55, 6, 0.019270178280448715, 0.013858084248946188, 0.0006701235162363257, 0.0015198331485326002, 0.0007530681360461991
55, 7, 0.008404052423534432, 0.0055066134694111086, 0.00026577907471103803, 0.0006030121080940218, 0.0002987134498544546
55, 8, 0.003922365325936528, 0.0024730891899712223, 0.00011928957897202611, 0.0002706811943476458, 0.00013407705399164037
55, 9, 0.0019681678515507148, 0.0012202579424094016, 5.884780532843571e-05, 0.00013353353326146314, 6.614338599968039e-05
55, 10, 0.0010543773333666908, 0.0006485847600780696, 3.127900279898618e-05, 7.097218414857189e-05, 3.51565032155496e-05
55, 11, 0.0005975610206091695, 0.0003661372003255443, 1.7660587284730518e-05, 4.00669455081576e-05, 1.9849427128415325e-05
55, 12, 0.00035528633790011827, 0.00021723780257165243, 1.0481971421524743e-05, 2.377567406062927e-05, 1.1780621771055054e-05
55, 13, 0.00022005360036345782, 0.00013439506019409972, 6.488227187008342e-06, 1.4712105746452807e-05, 7.291614463100978e-06
55, 14, 0.00014116658710243722, 8.615849088841748e-05, 4.162869517056213e-06, 9.434810601631193e-06, 4.677884618737725e-06
56, 5, -0.04908899157109754, 0.05044585929168831, 0.005911855831087971, 0.005646575778880358, 0.0028006845520790746
56, 6, -0.02142704216070207, 0.0170372974105102, 0.0019822416102484295, 0.0018949530630023798, 0.0009388160771996989
56, 7, -0.009997745509052127, 0.0067724551941941704, 0.0007863886020501677, 0.0007519616357688534, 0.0003724163664082647
56, 8, -0.004907841915243663, 0.0030419692145417735, 0.0003529795953707745, 0.00033755975809829564, 0.00016716124259201156
56, 9, -0.0025364402412298907, 0.0015010236062407475, 0.0001741288568062975, 0.0001665289913918965, 8.246418664540837e-05
56, 10, -0.0013807363980932203, 0.0007978320922852436, 9.254619756254134e-05, 8.850884064115768e-05, 4.383037477435087e-05
56, 11, -0.0007893057731143007, 0.0004503936766982171, 5.224491197704082e-05, 4.9966354058575734e-05, 2.474569322347651e-05
56, 12, -0.00047152685869187943, 0.00026722970877492917, 3.10007659860618e-05, 2.9649048228443893e-05, 1.4685566914975131e-05
56, 13, -0.00029283773083982497, 0.0001653223942477971, 1.9181726983427506e-05, 1.834556651863365e-05, 9.088695594333693e-06
56, 14, -0.000188152810573077, 0.00010598486785100256, 1.2300061196507344e-05, 1.1764057606556194e-05, 5.829907150632354e-06
57, 5, 0.054013133464778935, 0.061662945728038106, 0.0031262616721132543, 0.0070052279912099545, 0.00347544869128812
57, 6, 0.02419469943918697, 0.02086731153441437, 0.0010474711143847611, 0.002352461859904149, 0.0011653380471938178
57, 7, 0.010818735274654434, 0.008298652543818468, 0.00041545969527289505, 0.000933700013128908, 0.0004623139636305928
57, 8, 0.005105187862436264, 0.003728007359513675, 0.00018647141100304582, 0.000419172742846358, 0.00020751759065781132
57, 9, 0.002574464937345411, 0.0018396384969947687, 9.198779491644568e-05, 0.000206796361368044, 0.00010237295406441074
57, 10, 0.001382453237649973, 0.0009778365677534282, 4.889124167630474e-05, 0.00010991102592105336, 5.4411239581650754e-05
57, 11, 0.0007844328534829763, 0.0005520155078646019, 2.7602317754695505e-05, 6.204801411044949e-05, 3.071846323338833e-05
57, 12, 0.00046668941319839954, 0.00032752550599763036, 1.6380347770410437e-05, 3.6817216903977794e-05, 1.8229210924998405e-05
